City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,songea,-10.6833,35.65,17.22,96,97,2.28,TZ,1681707856
127,neiafu,-18.65,-173.9833,26.38,89,100,4.63,TO,1681707857
128,vydrino,51.485,104.8461,0.23,55,95,1.21,RU,1681707858
129,odda,60.0691,6.5457,5.43,79,78,2.18,NO,1681707858
130,pierre,44.3683,-100.351,3.81,54,0,4.02,US,1681707858
131,wattegama,6.7989,81.4808,32.33,51,17,2.4,LK,1681707858
132,pombas,17.1503,-25.0201,21.88,81,90,5.42,CV,1681707859
133,noyabrsk,63.1994,75.4507,-17.6,88,76,7.1,RU,1681707859
134,aginskoye,51.1,114.53,6.12,19,61,4.72,RU,1681707859
135,apostolove,47.66,33.7137,6.49,53,97,7.36,UA,1681707859
136,sterlibashevo,53.4376,55.2578,3.86,50,2,5.3,RU,1681707859
137,masterton,-40.9597,175.6575,18.27,75,64,2.97,NZ,1681707860
138,san patricio,28.017,-97.5169,22.92,57,0,3.07,US,1681707860
139,faanui,-16.4833,-151.75,27.05,76,18,3.24,PF,1681707860
140,narsaq,60.9167,-46.05,4.12,58,81,2.93,GL,1681707796
141,trento,46.0679,11.1211,10.39,70,33,1.84,IT,1681707861
142,sri aman,1.2376,111.4621,32.03,70,20,1.03,MY,1681707861
143,marang,5.2056,103.2059,32.76,64,100,2.67,MY,1681707862
144,tiksi,71.6872,128.8694,-12.43,91,100,1.68,RU,1681707862
145,yeppoon,-23.1333,150.7333,29.88,61,39,4.69,AU,1681707863
146,ulladulla,-35.35,150.4667,22.09,57,48,3.31,AU,1681707712
147,nikolskoye,59.7035,30.7861,4.95,76,80,0.92,RU,1681707863
148,coshocton,40.272,-81.8596,9.6,70,77,1.34,US,1681707864
149,tadine,-21.55,167.8833,27.65,82,100,8.24,NC,1681707864
150,rocha,-34.4833,-54.3333,12.86,96,100,1.41,UY,1681707686
